ProductID,Description,Item index,Quantity,RawProductID,RawDescription,Item note,Status,RawStatus
10005,Arborvitae Essential Oil 5 ml,,0.0833,10261,"LABEL 2.625"" x 1"" Weatherproof Polyester Laser  (5 ml oil wrap)",,Active,Active
10005,Arborvitae Essential Oil 5 ml,1,0.0833,10351,"LABEL CLEAR GLOSS 2.625"" x 1"" for Laser (5 ML oil wrap)",,Active,Active
10005,Arborvitae Essential Oil 5 ml,2,1,105585,POLY BAG 3X4 2MIL (1000/CS),,Active,Active
10005,Arborvitae Essential Oil 5 ml,3,0.1691,105924,ARBORVITAE ,,Active,Active
10005,Arborvitae Essential Oil 5 ml,4,,,,,Active,
10005,Arborvitae Essential Oil 5 ml,5,1,105921,"AMBER GLASS BOTTLE 5 ML, 18-din neck finish",,Active,Active
10005,Arborvitae Essential Oil 5 ml,6,1,10303,DROPPER CAP Black PP 18 mm (1.2 mm orifice) (5000/case),,Active,Active
10005,Arborvitae Essential Oil 5 ml,7,0.01,10429,SHIPPING LABEL 4 x 6 Direct Thermal Blank for Zebra (250/roll),,Active,Active
10005,Arborvitae Essential Oil 5 ml,8,0.03333,10356,"SQU STICKERS 2.625"" x 1"" Standard White Matte ",,Active,Active
10005,Arborvitae Essential Oil 5 ml,9,0.01,10320,"10"" x 10"" x 10"" Shipping Boxes, 32 ECT, Brown, 25/Bundle (PRA0035)",,Active,Active
10006,Activated Charcoal Powder (2 oz) EBE,,0.0025,10482,Cabot Norit Activated Carbon USP (Activated Charcoal),,Active,Active
10006,Activated Charcoal Powder (2 oz) EBE,1,1,10272,JAR 6 oz clear PET 70-400 (480/case) ,,Active,Active
10006,Activated Charcoal Powder (2 oz) EBE,2,1,10402,"LID, BLACK (PS liner), 70-400 (760/case)",,Active,Active
10006,Activated Charcoal Powder (2 oz) EBE,3,0.1429,10268,"LABEL 8.1875"" x 1.375"" Weatherproof Polyester Laser  Eco Water Bottle Labels",,Active,Active
10006,Activated Charcoal Powder (2 oz) EBE,4,0.01,10318,"24"" X 12"" X 12"" 200# Kraft RSC Corrugated Carton Boxes Bundle 20",,Active,Active
10006,Activated Charcoal Powder (2 oz) EBE,5,0.0333,10356,"SQU STICKERS 2.625"" x 1"" Standard White Matte ",,Active,Active
10006,Activated Charcoal Powder (2 oz) EBE,6,1,10440, POLY BAG 5X8 2MIL (1000/case),,Active,Active
10006,Activated Charcoal Powder (2 oz) EBE,7,0.01,10429,SHIPPING LABEL 4 x 6 Direct Thermal Blank for Zebra (250/roll),,Active,Active
