Sublocation,ProductID,Description,Std Pkng,UnitsQoH,UnitsPacked,UnitsTransit,UnitsWIP,Total Std cost,Total Avg cost,Total Item price
--,10005,Arborvitae Essential Oil 5 ml,,0,0,100,0,50,0,999
--,10016,Ammonium Bicarbonate 16oz,,0,0,90,0,182.7,118.426448,895.5
--,10021,Ammonium Bicarbonate (32 oz) POI,,0,0,69,0,210.45,151.450141,1052.25
--,10034,Cedarwood Essential Oil (15 ml),,0,0,100,0,49,4.592593,899
--,10041,Calcium Sulfate (11 oz) POI,,0,0,100,0,138,50,899
--,10061,Cream of Tartar (2 lb.) POI,,0,0,276,0,2012.04,1865.723261,4678.2
--,10067,Diatomaceous Earth (1 lb) POI,,0,0,270,0,459,268.062445,4857.3
--,10071,Epsom Salt (1 lb) POI,,0,0,585,0,1088.1,449.453571,6142.5
--,10076,Grapefruit Oil 15ml,,0,0,60,0,28.8,0,531
--,10077,"Glycerin (Half Gallon, 64 fl oz) POI",,0,0,96,0,709.44,519.998049,1896
--,10089,Monosodium Phosphate (2 lb) POI,,0,0,69,0,427.8,355.187231,1448.31
--,10092,DL Malic (2 lb) POI,,0,0,150,0,516,322.101108,1798.5
--,10097,Mineral Oil (8 oz) POI,,0,0,240,0,552,300.637113,2100
--,10112,Potassium Bicarbonate 32oz,,0,0,92,0,493.12,405.048703,1403
--,10128,Sodium Tripolyphosphate (1 lb) POI,,0,0,25,0,78.25,25.800725,323.75
--,10144,Titanium dioxide 16oz,,0,0,180,0,712.8,472.291837,2158.2
--,10146,Titanium Dioxide 8oz,,0,0,216,0,529.2,292.804615,1782
--,10147,Vetiver Oil 15ml,,0,0,87,0,46.98,3.303649,1022.25
--,10154,Ylang Ylang Essential Oil (15 ml) POI ,,0,0,30,0,73.5,2.298051,299.7
--,10172,EDTA 4oz,,0,0,150,0,388.5,230.155932,1573.5
--,10179,Glycerin (8 fl oz Weight 12 oz) POI,,0,0,1020,0,1999.2,1043.33554,9945
--,10186,Ice Melt (3.5 Gallon (25 lbs)) EBE (Lower Feb 1)  (Raise Nov 1),,0,0,238,0,4036.48,3944.083289,14277.62
--,10200,Ice Melt (1 Gallon (8 lbs)) EBE,,0,0,1000,0,5420,5311.273386,26990
--,10201,"Ice Melt (5 Gallon, 40 lbs) EBE (Lower Feb 1)  (Raise Nov 1)",,0,0,100,0,2090,2351.477124,7599
--,10337,Washing soda (2 lb Tub) EBE,,0,0,780,0,2667.6,1639.074667,10101
--,10340,10 ml roller bottle 6 pack,,0,0,24,0,4.8,36.345,162
--,10341,10 ml roller bottle 8 pack,,0,0,24,0,5.76,48.63,186
--,10358,Cypress Essential Oil (15 ml) POI,,0,0,30,0,14.1,2.298051,238.5
--,10361,Lemon Essential Oil (15 ml) POI,,0,0,20,0,9.8,0.559091,179.8
--,10364,Lavender Essential Oil (15 ml) POI,,0,0,25,0,12.75,1.915043,249.75
--,10386,"Cobalt Spray Bottle, 2 oz, 4-Pack",,0,0,100,0,8,191.412121,0
--,10415,Propylene Glycol (1 Gallon) POI,,0,0,16,0,221.6,188.615,492
--,104257,Borax 1 Gallon Bucket,,0,0,240,0,1692,1437.583477,5508
--,104261,"Potassium Bicarbonate (200 Capsules, 2,860 mg) EBE",,0,0,250,0,1467.5,644.399441,4187.5
--,104262,Guar Gum (8 oz.) POI,,0,0,1200,0,1908,1347.148468,9000
--,104274,Guar Gum (10 oz.) POI,,0,0,550,0,957,415.723118,4400
--,104275,Guar Gum (16 oz.) POI,,0,0,90,0,220.5,116.05157,1169.1
--,104277,"Washing Soda (1 Gallon Bucket, 9 lb) EBE",,0,0,432,0,3015.36,2465.026331,11642.4
--,104304,"Magnesium Chloride (1 Gallon, 8 lb) EBE",,0,0,32,0,704.64,788.699429,1680
--,104321,Cardamom Essential Oil (5 ml),,0,0,100,0,20,0,999
--,104324,Bergamot Essential Oil 15 ml,,0,0,60,0,345.6,0,539.4
--,104325,Clary Sage Essential Oil (15 ml) POI,,0,0,254,0,1986.28,0,3299.46
--,104332,Thyme Essential Oil (15 ml) POI ,,0,0,25,0,157,0,249.75
--,104337,Coriander Essential Oil (15 ml) POI,,0,0,94,0,603.48,0,963.5
--,104342,Almond Flour (2 lb) POI,,0,0,184,0,1827.12,1562.471864,4046.16
--,104351,Acacia Fiber (2 lb) POI,,0,0,46,0,426.88,193.013621,1009.7
--,104352,Mineral Oil (4 oz) POI,,0,0,50,0,87,69.894231,412.5
--,104353,Propylene Glycol (4 fl oz) POI,,0,0,230,0,361.1,245.319643,1552.5
--,104354,Glycerin (4 fl oz) POI,,0,0,180,0,275.4,150.572222,1215
--,104367,Play Sand (5 lb) POI,,0,0,459,0,1225.53,713.216033,6999.75
--,104372,"MASON JARS (12 count, 8 oz)",,0,0,65,0,89.7,919.711386,1690
--,104384,"DL Malic Acid (Tub, 2 lb) EBE",,0,0,100,0,539,396.547009,1450
--,104395,Siberian Fir Essential Oil (15 ml) POI,,0,0,38,0,49.78,0,340.1
--,104410,"Diatomaceous Earth Capsules (150 count, 275 mg) UNP",,0,0,67,0,280.06,115.335245,904.5
--,104432,"Amber Dropper Bottle 2 oz, 4 pack",,0,0,230,0,515.2,338.338589,0
--,104433,"Amber Dropper Bottle 2 oz, 2 pack",,0,0,1100,0,1980,764.905405,0
--,104435,"Cobalt Dropper Bottle 2 oz, 4pk",,0,0,180,0,0,321.070213,0
--,104436,"Cobalt Dropper Bottle 2 oz, 2 pk",,0,0,900,0,2502,861.103448,6291
--,104439,Tapioca Starch Flour (8 oz) POI,,0,0,450,0,657,189.609677,2925
--,104454,"Cream Of Tartar (5 Gallon Bucket, 45 lb) EBE",,0,0,16,0,2253.6,2050.887442,4080
--,104455,Epsom Salt (5 lb) POI (Single Listing),,0,0,117,0,507.78,365.491335,2164.5
--,104460,Mineral Oil (8 oz) POI (Single Listing) ,,0,0,600,0,1386,744.501873,5250
--,104474,Potato Starch (10 lb) POI (Single Listing)  (Shortage),,0,0,64,0,688,603.189404,2236.8
--,104504,Cream of Tartar (4 oz) POI (Single Listing),,0,0,150,0,265.5,223.195853,1042.5
--,104511,Potassium Bicarbonate (4 oz) POI (Single Listing),,0,0,150,0,232.5,92.087558,1177.5
