ProductID,Status,Description,Category,StdAccountingCost,SKU,ItemPrice,UnitOfMeasure,WeightPerUnit,DoesGetBuilt,MSQ,AllocatedDoneDate,OnOrderUnits,RawConsumption,BuildOutToDays,RawConsumption,UPC
10000,Active,misc employee shipments,Office Supplies,,,,,,0,,,0,,,,
10001,Active,College Dorm Mattress Pedic (Twin),Mattress,,7CM33,229.99,ea,,0,,1/8/2018,0,,,,14181535367
10002,Active,College Dorm Mattress Pedic Mattress (Twin XL),Mattress,,7CM33XL,229.99,ea,,0,,1/8/2018,0,,,,14181535336
10003,Active,College Dorm Mattress Pedic (Full),Mattress,,7CM46,259.99,ea,,0,,1/8/2018,0,,,,14181535350
10004,Active,College Dorm Mattress Pedic Mattress (Queen),Mattress,,7CM50,299.99,ea,,0,,1/8/2018,0,,,,14181535329
10005,Active,Arborvitae Essential Oil 5 ml,Sell-Essential Oils,0.5,ABEO5mL,9.99,ml,1.5,1,,1/8/2018,0,,31,,16463996972
10006,Active,Activated Charcoal Powder (2 oz) EBE,Sell-Powder,2.16,ActChar2ozEE,6.75,oz,2,1,,1/8/2018,0,0.125,31,0.125,16463998389
10007,Active,Activated Charcoal Powder (1 lb.) POI,Sell-Powder,7.74,ActivCarbon16oz,29.95,oz,16,1,,1/8/2018,0,1,31,1,16463997733
10008,Active,Activated Charcoal Powder (2 lb.) POI,Sell-Powder,14.28,ActivCarbon32oz,49.95,oz,32,1,,1/8/2018,0,2,31,2,16463997740
10010,Active,Aluminum Oxide (8 oz) POI,Sell-Powder,1.78,AlO8oz,7.75,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463996750
10011,Active,POI Aluminum Oxide 32oz X23,Sell-Powder,4.31,AlOx32OZ,15.95,oz,32,1,,1/8/2018,0,2,31,2,16463996736
10012,Active,Aluminum Sulfate (1 lb) POI,Sell-Powder,2.28,Alsulfate16oz,10.75,oz,16,1,,1/8/2018,0,1,31,1,16463997641
10013,Active,Aluminum Sulfate (2 lb) POI,Sell-Powder,3.33,Alsulfate32oz,12.95,oz,32,1,,1/8/2018,0,2,31,2,16463997658
10014,Active,Aluminum Sulfate (4 oz) POI,Sell-Powder,1.27,Alsulfate4oz,6.55,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997634
10015,Active,Ammonium Bicarbonate 11oz,Sell-Powder,1.67,AmBi11oz,7.25,oz,11,1,,1/29/2018,0,0.6875,31,0.6875,16463997269
10016,Active,Ammonium Bicarbonate 16oz,Sell-Powder,2.03,AmBi16oz,9.95,oz,16,1,,1/8/2018,0,1,31,1,16463998402
10017,Active,Ammonium Bicarbonate 4oz,Sell-Powder,1.24,AmBi4oz,5.5,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997252
10018,Active,Ammonium Sulfate (16 oz) POI,Sell-Powder,2.08,AmSulfate16oz,10.49,oz,16,1,,1/8/2018,0,1,31,1,16463997610
10019,Active,Ammonium Sulfate (2 lb) POI X23,Sell-Powder,3.27,AmSulfate32oz,13.25,oz,32,1,,1/8/2018,0,2,31,2,16463997627
10020,Active,Ammonium Sulfate (8 oz) POI,Sell-Powder,1.52,AmSulfate8oz,7.49,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463997603
10021,Active,Ammonium Bicarbonate (32 oz) POI,Sell-Powder,3.05,Ambi32oz,12.99,oz,32,1,,1/8/2018,0,2,31,2,16463997276
10022,Active,Artisan Laundry 40oz (RET),Sell-Powder,3.5,Ames10ozSF,19,oz,40,1,,1/8/2018,0,2.5,31,2.5,16463996842
10023,Active,Vitamin C (1 lb) POI,Sell-Powder,6.42,AscAcid16oz,15.95,oz,16,1,,1/8/2018,0,1,31,1,16463998327
10024,Active,Vitamin C (2 lb) POI (KILL),Sell-Powder,11.6,AscAcid32oz,23.95,oz,32,1,,3/8/2018,0,2,31,2,16463998334
10025,Active,Borax (1 lb) POI,Sell-Powder,1.76,Borax 1 lb,9.95,oz,16,1,,1/8/2018,0,1,31,1,16463997146
10026,Active,Borax (11 oz) POI,Sell-Powder,1.35,Borax11OZ,7.55,oz,11,1,,1/8/2018,0,0.6875,31,0.6875,16463996552
10027,Active,Borax (2 lb) POI,Sell-Powder,2.27,Borax32oz,12.75,oz,32,1,,1/8/2018,0,2,31,2,16463997108
10028,Active,Borax (4 oz) POI,Sell-Powder,1.11,Borax4OZ,4.85,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463996545
10029,Active,BORAX 5 MOL (55.1156 LBS),RAW BULK,14.522961,,,pound,55.12,0,8,,0,55.1156,,55.1156,
10030,Active,Borax (5 lb) POI (Single),Sell-Powder,3.73,Borax5lbsingle,15.95,oz,80,1,,1/8/2018,0,5,31,5,16463997900
10031,Active,Borax (5 lb) POI,Sell-Powder,3.73,Borax80OZ,15.95,oz,80,1,,1/8/2018,0,5,31,5,16463996576
10032,Active,Borax Tub (2 lb) EBE,Sell-Tub,3.56,BoraxTub32oz,11.95,oz,32,1,,1/8/2018,0,2,31,2,16463998464
10033,Active,Clove Essential Oil (15ml) POI,Sell-Essential Oils,0.51,CEO15mL,9.99,ml,2,1,,1/8/2018,0,,31,,16463997153
10034,Active,Cedarwood Essential Oil (15 ml),Sell-Essential Oils,0.49,CWEO15mL,8.99,ml,2,1,,1/8/2018,0,,31,,16463996941
10036,Active,Calcium Carbonate 16oz,Sell-Powder,1.88,CaCO16oz,9.95,oz,16,1,,1/8/2018,0,1,31,1,16463997375
10037,Active,Calcium Carbonate 32oz,Sell-Powder,2.54,CaCO32oz,12.95,oz,32,1,,1/8/2018,0,2,31,2,16463997382
